Year Published,Unit Code,Unit Name,Item,,2023-2024,2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2011 Target,2013 Target
FY2024,1A1-NA-NA0-700,Office of the Chancellor,1602,Academic Staff Headcount,7,7,11,10,10,11,10,10,10,12,,
FY2024,1A1-NA-NA0-700,Office of the Chancellor,1625,Academic Profnl Headcount,4,3,8,9,9,10,8,8,8,10,,
FY2024,1A1-NA-NA1-665,Office of Public Engagement,1602,Academic Staff Headcount,2,2,,,,,,,11,11,,
FY2024,1A1-NA-NA1-665,Office of Public Engagement,1625,Academic Profnl Headcount,2,2,,,,,,,10,10,,
FY2024,1A1-NA-NA1-XXX,Public Engagement-subcoll,1602,Academic Staff Headcount,2,2,,,,,,,26,26,,
FY2024,1A1-NA-NA1-XXX,Public Engagement-subcoll,1625,Academic Profnl Headcount,2,2,,,,,,,25,25,,
FY2024,1A1-NA-NA2-504,Employee Dev and Learning,1602,Academic Staff Headcount,,,2,1,2,2,2,3,3,3,,
FY2024,1A1-NA-NA2-504,Employee Dev and Learning,1625,Academic Profnl Headcount,,,2,1,2,2,2,3,3,3,,
FY2024,1A1-NA-NA2-630,Illinois Human Resources,1602,Academic Staff Headcount,17,12,11,17,16,20,7,7,6,6,,
FY2024,1A1-NA-NA2-630,Illinois Human Resources,1625,Academic Profnl Headcount,17,12,10,17,16,20,7,7,6,6,,
FY2024,1A1-NA-NA2-639,UI Alumni Association,1602,Academic Staff Headcount,1,,,,,,,,,,,
FY2024,1A1-NA-NA2-639,UI Alumni Association,1625,Academic Profnl Headcount,0,,,,,,,,,,,
FY2024,1A1-NA-NA2-746,Academic Human Resources,1602,Academic Staff Headcount,,,,,,0,11,11,13,11,,
FY2024,1A1-NA-NA2-746,Academic Human Resources,1625,Academic Profnl Headcount,,,,,,0,11,11,13,11,,
FY2024,1A1-NA-NA2-980,Faculty/Staff Assistance Svcs,1602,Academic Staff Headcount,4,4,3,5,4,4,4,4,4,3,,
FY2024,1A1-NA-NA2-980,Faculty/Staff Assistance Svcs,1625,Academic Profnl Headcount,4,4,3,5,4,4,4,4,4,3,,
FY2024,1A1-NA-NA2-XXX,Human Resources,1602,Academic Staff Headcount,22,16,16,23,22,26,24,25,26,23,,
FY2024,1A1-NA-NA2-XXX,Human Resources,1625,Academic Profnl Headcount,21,16,15,23,22,26,24,25,26,23,,
FY2024,1A1-NA-NA3-234,Web Services,1602,Academic Staff Headcount,2,2,2,2,3,3,4,3,3,4,,
FY2024,1A1-NA-NA3-234,Web Services,1625,Academic Profnl Headcount,2,2,2,2,3,3,4,3,3,4,,
FY2024,1A1-NA-NA3-243,StratCommunications-Marketing,1602,Academic Staff Headcount,7,7,10,9,12,14,12,10,12,11,,
FY2024,1A1-NA-NA3-243,StratCommunications-Marketing,1625,Academic Profnl Headcount,7,7,10,9,12,14,12,10,12,11,,
FY2024,1A1-NA-NA3-283,Strategic Marketing Branding,1602,Academic Staff Headcount,3,4,5,9,8,,,,,,,
FY2024,1A1-NA-NA3-283,Strategic Marketing Branding,1625,Academic Profnl Headcount,3,4,5,9,8,,,,,,,
FY2024,1A1-NA-NA3-358,Special Events,1602,Academic Staff Headcount,1,1,1,,,,,,,,,
