Year Published,Unit Code,Unit Name,Item,,2023-2024,2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2011 Target,2013 Target
FY2024,1B1-KL-KL0-306,ACES courses,9500,ICES Teaching Evaluations,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9520,% Sections using ICES,,54.5,43.6,46.3,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9560,Top 10% Faculty,,12,12,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9580,Next 20% Faculty,,0,12,15,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9600,Middle 40% Faculty,,35,53,38,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9620,Next 20% Faculty,,41,18,31,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9640,Bottom 10% Faculty,,12,6,15,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9680,Top 10% TA,,0,,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9700,Next 20% TA,,0,,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9720,Middle 40% TA,,100,,67,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9740,Next 20% TA,,0,,33,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9760,Bottom 10% TA,,0,,0,,,,,,,,
FY2024,1B1-KL-KL0-306,ACES courses,9770,ICES % Top rated (4 or 5),,,,,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9500,ICES Teaching Evaluations,,,,,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9520,% Sections using ICES,,63.2,66.2,65.6,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9560,Top 10% Faculty,,6,6,3,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9580,Next 20% Faculty,,13,24,9,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9600,Middle 40% Faculty,,68,45,52,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9620,Next 20% Faculty,,10,15,36,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9640,Bottom 10% Faculty,,3,9,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9680,Top 10% TA,,20,0,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9700,Next 20% TA,,20,20,0,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9720,Middle 40% TA,,20,40,33,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9740,Next 20% TA,,40,30,56,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9760,Bottom 10% TA,,0,10,11,,,,,,,,
FY2024,1B1-KL-KL0-342,Ag Ldrshp Educ Comm Program,9770,ICES % Top rated (4 or 5),,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9500,ICES Teaching Evaluations,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-348,ACES Info Tech & Cmc Svcs,9770,ICES % Top rated (4 or 5),,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9500,ICES Teaching Evaluations,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-384,Cooperative Extension,9770,ICES % Top rated (4 or 5),,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9500,ICES Teaching Evaluations,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9660,TA ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9680,Top 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9700,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9720,Middle 40% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9740,Next 20% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9760,Bottom 10% TA,,,,,,,,,,,,
FY2024,1B1-KL-KL0-416,Agricultural Buildings O & M,9770,ICES % Top rated (4 or 5),,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9500,ICES Teaching Evaluations,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9520,% Sections using ICES,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9540,Faculty ICES ratings,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9560,Top 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9580,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9600,Middle 40% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9620,Next 20% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9640,Bottom 10% Faculty,,,,,,,,,,,,
FY2024,1B1-KL-KL0-452,ACES General,9660,TA ICES ratings,,,,,,,,,,,,
